employee_id,age,gender,education,experience_years,department,job_level,manager_tenure,projects_count,avg_task_delay_days,on_time_delivery_rate,bug_count,code_review_score,qa_defect_density,story_points_completed,billable_hours_ratio,training_hours,certifications_count,internal_hackathons_participated,sick_days,unplanned_absences,avg_login_hours,peer_feedback_score,manager_score,kudos_count,promotions_in_2y,salary_percentile_band,perf_band_next
1,50,Female,Master,5,Marketing,Mid,18,7,23.858097442997522,0.7446613737375607,25,3.4476163390692967,0.4765835883855837,299,0.8192815091168606,64.293120816076,2,2,17,3,7.456789587166035,2.618394664671138,3.090772546043253,16,0,High,High
2,36,Male,Master,26,HR,Mid,18,7,9.619799844054155,0.7562881079621058,32,2.494078656926965,0.3041066361897876,144,0.9812710153052557,86.11302430447813,2,2,6,9,11.835537220509345,2.4846121851206986,4.087728448959493,11,0,Low,High
3,29,Male,Master,1,Finance,Junior,14,17,-2.4420218140847414,0.6338871573020588,30,3.807788800479227,0.1099997361183126,345,0.6721160522462563,48.642583502607174,1,0,0,5,6.9060787045626375,3.5078876352244133,1.5070247825016603,19,1,High,High
4,42,Male,Master,28,Finance,Mid,18,13,4.578323472251018,0.7274753884209999,47,4.342886386591485,0.23960812871675813,233,0.8896543915330533,13.445704076706445,7,2,2,6,10.35648454006913,1.0459698785341502,4.627641727318345,11,2,Medium,High
5,40,Male,PhD,37,Engineering,Mid,15,11,29.300191211888595,0.7353924985063536,46,3.7529331093425977,0.337702218567647,309,0.9248958154434989,28.940513070441266,4,4,10,9,8.868109839957233,4.053358544133108,3.3621417587281024,2,0,Medium,High
6,44,Female,Bachelor,2,HR,Junior,15,6,15.869050133144572,0.8533212608744669,5,3.050330507388546,0.1618145622902395,336,0.8716515325339447,66.24299734213518,0,1,14,4,10.491609957312958,3.96021198670314,3.953042722996164,1,2,Low,High
7,32,Female,Bachelor,15,Sales,Senior,6,14,19.84079796803571,0.9703199995930569,43,2.8346318379694813,0.039820803144511585,204,0.8427689120906161,61.312197374155986,1,3,2,7,9.966679446866358,4.321302722378805,1.125518752067412,14,0,Medium,High
8,32,Female,Bachelor,29,Engineering,Senior,15,6,-4.742475963110492,0.6646606387412521,7,3.569278603902977,0.2917178173554425,235,0.8259251124344729,53.10031297429625,0,3,12,5,8.635003143325957,4.365802693227254,2.2612196007960126,10,2,Medium,High
9,45,Male,Bachelor,39,Engineering,Mid,18,6,13.137200626388228,0.5211002342906492,6,3.719243566405321,0.47393508430984,458,0.9443721930314783,68.29644186886871,5,4,3,4,8.123464948098402,3.265598779041874,2.069781657581647,9,0,Medium,High
10,57,Female,Master,1,Marketing,Junior,4,2,-3.686496986386891,0.7481475627503198,33,3.234917774098156,0.24253599278158688,118,0.9286586388658,63.739085037329936,8,2,7,3,10.526155526136753,4.1202957424931625,4.798379981151483,17,1,High,High
11,45,Male,Bachelor,16,Marketing,Senior,8,15,14.923057423200678,0.7722306660745843,43,3.49976910042958,0.45305454032351894,375,0.6489154884722398,88.13248894649517,6,1,3,5,7.938847237558958,2.969580501922077,1.7413542755213443,1,1,Low,High
12,24,Female,Master,11,Marketing,Mid,15,17,27.22697973726264,0.5842202755659576,13,1.386354729978129,0.417511794185847,310,0.9394350628123512,58.60163774782966,4,2,17,5,10.726628880531411,4.806119345673202,3.82820690685637,6,1,Low,High
13,43,Male,Bachelor,34,Engineering,Mid,3,8,28.894669567514278,0.8802323031380334,15,4.8070620645693065,0.07370639181699168,164,0.765627447776177,77.86013587005564,2,0,6,5,10.07905839799471,1.762794119149739,1.171014150997172,6,0,Low,High
14,23,Male,Master,0,Sales,Junior,15,5,13.919343638612347,0.9924645542207458,42,4.163092254928136,0.3540849609177854,396,0.7014787319983243,24.870715596646786,7,2,10,0,9.466015021399013,4.662468368295597,1.7907363427769543,6,2,Medium,High
15,45,Female,Master,14,Finance,Mid,13,17,11.037168183827557,0.9728873585042305,8,2.4957114788271353,0.21773276253598922,57,0.9479074272055703,67.8182584589068,9,0,3,5,8.212805309413785,2.0341214450708924,2.354389417017411,13,0,High,High
16,51,Female,Bachelor,25,Marketing,Senior,9,1,28.075598298697287,0.598553019411826,9,3.25125044381452,0.12512316263146844,314,0.7728099198534967,90.21941183826758,3,3,12,0,7.230488146598249,1.410893494747408,4.178023391498966,1,1,Low,High
17,59,Female,Master,36,Sales,Junior,2,18,18.57634411988433,0.9376816199503804,16,1.1892981205456854,0.3434691778333515,320,0.9233458760707267,38.57323278998332,8,1,8,4,10.262518807443982,2.7564177896278697,4.1599063202472015,1,0,High,High
18,23,Female,Bachelor,20,HR,Senior,8,15,-2.728525216155669,0.8522468182058424,11,1.1649112559962416,0.3713303593282107,298,0.7053614447823378,77.91041873386466,4,0,8,6,6.548095363023485,3.4596689696642375,4.810407446972647,14,2,Low,High
19,42,Male,Bachelor,30,Marketing,Senior,17,5,11.300395218362414,0.7269232819034558,5,2.003193340447851,0.0899481593674194,154,0.6015717285688871,72.47893011954353,5,2,18,0,11.823253536934558,1.923959492799809,4.667070010667539,10,1,Medium,High
20,54,Female,Bachelor,24,Finance,Senior,13,7,3.408575646250636,0.7703054971623645,18,3.758806569458493,0.4572223410281042,312,0.7981836771611778,5.952619687182247,4,2,2,0,11.872487487692926,3.2231849645771913,1.3260583801800654,9,0,Low,High
21,33,Female,Bachelor,22,HR,Mid,1,18,11.443151250703856,0.924800087491229,42,4.408590991200047,0.3755736219757205,273,0.6400913026571536,58.15083096240723,9,3,11,5,6.781335695748832,4.231573427738018,4.319470888578783,2,2,Low,High
22,43,Female,Bachelor,23,HR,Mid,2,6,10.941295020222661,0.7400674698191866,40,3.2367435199193935,0.46668774957098436,377,0.9017503822099638,13.018934920080238,6,4,10,6,6.623611937833814,2.028339863214891,2.804694318160067,16,1,Medium,High
23,46,Male,Master,37,Finance,Senior,15,5,15.375068098515971,0.6866036845525634,28,3.1285309583294096,0.1585366093818455,420,0.7104300544277642,96.73191722305911,6,4,19,5,8.476300362498181,3.321288983656812,4.463544362918934,8,2,Medium,High
